"RECNUM","AdoptMomAge","AdoptDadAge","ADPFAMST","MomRace","DadRace","Transracial"
"252412000000",36,NA,3,2,99,3
"252423000000",55,NA,3,7,99,3
"252429000000",51,NA,3,2,99,0
"252452000000",60,NA,3,2,99,0
"252458000000",45,45,1,1,1,9
"252470000000",56,42,1,1,1,0
"252472000000",34,NA,3,2,99,0
"252481000000",64,65,1,2,2,0
"252492000000",45,NA,3,2,99,3
"252497000000",55,NA,3,2,99,3
"252505000000",56,NA,3,2,99,2
"252518000000",60,NA,3,2,99,0
"252521000000",42,NA,3,2,99,0
"252523000000",69,NA,3,1,99,0
"252524000000",64,64,1,1,1,0
"252528000000",38,36,1,2,2,2
"252535000000",40,39,1,1,1,0
"252564000000",47,45,1,1,1,0
"252571000000",51,NA,3,2,99,0
"252611000000",65,64,1,1,1,0
"252615000000",77,NA,3,2,99,0
"252621000000",53,59,1,1,1,0
"252622000000",58,51,1,1,1,1
"252631000000",47,45,1,1,1,0
"252631000000",50,NA,3,2,99,0
"252632000000",53,NA,3,2,99,0
"252636000000",53,NA,3,1,99,0
"252638000000",43,38,1,1,1,0
"252644000000",50,NA,3,2,99,0
"252646000000",56,63,1,1,1,9
"252670000000",65,64,1,2,2,2
"252677000000",55,52,1,1,1,0
"252682000000",45,47,1,1,1,0
"252689000000",57,NA,3,2,99,0
"260101000000",53,53,2,1,1,1
"260101000000",59,NA,3,1,99,0
"260102000000",58,NA,3,1,99,0
"260102000000",56,56,1,2,2,2
"260104000000",50,NA,3,7,99,0
"260107000000",31,NA,3,2,99,9
"260107000000",31,NA,3,2,99,0
"260110000000",58,61,1,2,2,9
"260111000000",59,58,1,7,7,0
"260112000000",52,56,1,2,2,0
"260115000000",NA,NA,NA,99,99,9
"260117000000",45,51,1,1,1,9
"260119000000",45,43,1,1,1,0
"260121000000",54,57,1,1,1,0
"260123000000",56,NA,3,2,99,9
"260124000000",59,NA,3,2,99,0
"260125000000",38,32,1,1,99,9
"260129000000",34,39,1,1,1,0
"260129000000",47,60,1,2,2,3
"260129000000",59,73,1,7,7,0
"260129000000",42,36,1,7,7,3
"260131000000",60,65,1,2,2,9
"260134000000",37,37,1,7,7,0
"260134000000",37,37,1,7,7,0
"260134000000",37,37,1,7,7,0
"260139000000",52,NA,3,2,99,0
"260141000000",49,45,1,1,1,1
"260141000000",49,45,1,1,1,1
"260148000000",50,NA,3,1,99,0
"260153000000",46,NA,3,2,99,0
"260153000000",66,NA,3,7,99,9
"260153000000",63,NA,3,7,99,9
"260156000000",47,NA,3,1,99,0
"260157000000",41,NA,3,2,99,0
"260157000000",45,NA,3,2,99,0
"260157000000",45,NA,3,2,99,9
"260158000000",54,56,1,1,1,1
"260159000000",30,34,1,1,1,0
"260160000000",58,57,1,2,2,0
"260160000000",43,NA,3,2,99,0
"260163000000",42,NA,3,7,99,3
"260165000000",71,NA,3,2,99,0
"260165000000",44,NA,3,2,99,0
"260165000000",55,NA,4,2,99,9
"260168000000",43,NA,3,2,99,0
"260169000000",65,NA,3,2,99,0
"260170000000",32,NA,3,2,99,0
"260171000000",28,NA,3,2,99,0
"260176000000",53,59,1,1,1,0
"260176000000",43,NA,4,7,99,0
"260177000000",48,NA,3,2,99,0
"260177000000",48,NA,3,2,99,0
"260181000000",44,43,2,99,99,9
"260185000000",63,64,1,2,2,0
"260187000000",39,45,1,1,1,0
"260192000000",62,NA,3,2,99,0
"260192000000",59,NA,3,2,99,0
"260192000000",71,NA,3,2,99,0
"260192000000",41,36,1,1,1,0
"260198000000",54,55,1,2,2,0
"260201000000",60,56,1,7,7,0
"260201000000",60,56,1,7,7,0
"260204000000",62,NA,3,2,99,0
"260204000000",56,NA,3,2,99,0
"260205000000",60,NA,3,2,99,0
"260205000000",45,47,1,1,1,1
"260206000000",67,NA,3,2,99,0
"260207000000",42,NA,3,7,99,0
"260208000000",59,48,1,7,7,9
"260210000000",43,NA,3,2,99,0
"260211000000",53,NA,3,2,99,0
"260212000000",35,47,1,1,1,0
"260213000000",71,NA,3,7,99,0
"260213000000",71,NA,3,7,99,0
"260214000000",44,43,2,99,99,9
"260215000000",60,NA,3,2,99,0
"260216000000",69,NA,3,7,99,3
"260218000000",45,45,1,1,1,9
"260220000000",37,NA,4,1,99,9
"260222000000",40,43,1,1,1,0
"260222000000",51,NA,3,1,99,0
"260222000000",48,NA,3,1,99,0
