"RECNUM","SEX","AGYSPNDS","AgeAtAdopt","ChildRace","BioMomAgeAtBirth","MOMARRD","AdoptMomAge","AdoptDadAge","ADPFAMST","MomRace","DadRace","Transracial"
"251911000000",2,2,11,2,29,2,60,NA,3,2,99,0
"251911000000",2,2,5,7,15,2,53,NA,3,2,99,3
"251921000000",1,2,9,1,28,2,50,50,1,1,1,0
"251921000000",1,2,8,1,25,2,49,53,1,1,1,0
"251927000000",2,2,10,7,24,3,39,NA,3,99,99,9
"251931000000",1,2,10,2,32,2,53,37,1,7,7,3
"251932000000",1,2,10,2,17,2,53,NA,3,2,99,0
"251938000000",2,2,9,7,34,2,79,NA,3,2,99,3
"251949000000",1,2,9,2,34,2,48,50,1,7,7,3
"251950000000",2,2,9,2,31,2,65,63,1,2,2,0
"251960000000",1,2,11,1,27,1,48,43,1,1,1,0
"251960000000",2,2,12,1,26,1,48,43,1,1,1,0
"251961000000",2,2,10,2,28,2,60,NA,3,2,99,0
"251967000000",1,2,10,2,22,2,53,49,1,2,2,0
"251969000000",1,2,10,2,25,2,49,NA,3,2,99,0
"251969000000",2,2,15,2,20,2,49,NA,3,2,99,0
"251973000000",2,2,12,2,23,2,45,NA,3,2,99,0
"251974000000",2,2,9,1,NA,NA,NA,NA,NA,99,99,9
"251974000000",1,2,8,1,20,2,48,45,1,1,1,0
"251974000000",1,2,8,1,21,2,48,NA,3,1,99,0
"251984000000",1,2,9,2,33,2,62,NA,3,2,99,0
"251994000000",1,2,9,2,36,2,53,55,1,2,2,0
"251994000000",1,2,8,6,16,2,41,NA,3,7,99,3
"251995000000",1,2,8,1,18,2,46,45,1,1,1,0
"251996000000",1,2,7,1,27,2,51,52,1,2,2,2
"252000000000",2,2,8,1,31,1,57,67,1,1,1,0
"252001000000",2,2,9,2,37,2,51,NA,3,1,99,1
"252002000000",1,2,9,1,24,2,42,NA,4,1,99,0
"252012000000",1,2,8,2,24,2,45,44,1,2,2,0
"252017000000",1,2,13,7,23,2,49,50,1,7,7,0
"252017000000",1,2,9,7,28,2,49,50,1,7,7,0
"252017000000",1,2,9,1,27,2,55,52,1,2,2,2
"252018000000",1,2,8,2,31,2,49,49,1,1,1,1
"252020000000",2,2,8,99,31,3,48,54,1,1,1,9
"252028000000",2,2,9,4,20,2,60,NA,3,7,99,3
"252032000000",2,2,13,7,NA,2,48,NA,3,2,99,3
"252035000000",1,2,8,1,26,2,53,52,1,1,1,0
"252046000000",2,2,9,99,28,2,44,46,1,99,99,9
"252059000000",1,2,8,99,23,2,38,NA,3,2,99,9
"252065000000",1,2,9,2,24,NA,NA,NA,NA,99,99,9
"252066000000",2,2,8,99,22,2,35,45,1,1,1,9
"252069000000",2,2,8,1,19,2,28,30,1,1,1,0
"252072000000",1,2,8,1,22,2,42,39,1,1,1,0
"252075000000",2,2,11,7,25,2,54,NA,3,2,99,3
"252075000000",1,2,10,7,27,2,54,NA,3,2,99,3
"252079000000",1,2,8,2,27,2,76,NA,3,2,99,0
"252082000000",1,2,11,2,15,2,59,NA,3,7,99,3
"252083000000",2,2,8,2,22,2,49,50,1,2,2,0
"252084000000",2,2,11,2,23,2,56,50,1,2,2,0
