"RecNumbr","F1Age","F2Age","FOSFAMST","F1Race","F2Race","Transracial"
"262315000000",62,NA,3,2,NA,NA
"262325000000",55,52,1,1,1,0
"262343000000",56,54,NA,2,2,0
"262380000000",NA,NA,NA,NA,NA,NA
"262401000000",65,NA,1,2,NA,0
"262458000000",45,43,NA,2,2,0
"262490000000",NA,NA,NA,NA,NA,NA
"262490000000",NA,NA,NA,NA,NA,NA
"262497000000",37,37,3,2,1,0
"262558000000",NA,NA,NA,NA,NA,NA
"262565000000",NA,NA,NA,NA,NA,NA
"262572000000",NA,NA,NA,NA,NA,NA
"262587000000",54,NA,1,2,NA,0
"262613000000",45,NA,4,2,NA,0
"12205659120",49,47,1,1,1,0
"12329082060",34,NA,3,2,NA,NA
"242109000000",NA,NA,NA,NA,NA,9
"250101000000",NA,NA,NA,NA,NA,NA
"250102000000",NA,NA,NA,NA,NA,9
"250102000000",NA,NA,NA,NA,NA,NA
"250105000000",NA,NA,NA,NA,NA,NA
"250111000000",82,NA,NA,2,NA,0
"250116000000",NA,NA,NA,NA,NA,NA
"250118000000",62,63,NA,2,2,3
"250120000000",NA,NA,NA,NA,NA,NA
"250125000000",NA,NA,NA,NA,NA,9
"250128000000",NA,NA,NA,NA,NA,NA
"250131000000",NA,NA,NA,NA,NA,NA
"250132000000",45,NA,3,2,NA,0
"250132000000",NA,NA,NA,NA,NA,NA
"250133000000",NA,NA,NA,NA,NA,NA
"250134000000",NA,NA,NA,NA,NA,NA
"250139000000",45,NA,NA,2,NA,0
"250146000000",NA,NA,NA,NA,NA,NA
"250146000000",48,NA,3,2,NA,0
"250150000000",NA,NA,NA,NA,NA,NA
"250151000000",68,NA,NA,7,NA,NA
"250154000000",48,50,3,1,1,0
"250157000000",46,42,NA,7,7,3
"250162000000",NA,NA,NA,NA,NA,NA
"250168000000",42,30,1,1,1,0
"250178000000",55,56,1,1,1,0
"250179000000",NA,NA,NA,NA,NA,NA
"250187000000",NA,NA,NA,NA,NA,9
"250195000000",36,NA,NA,2,NA,0
"250198000000",39,NA,NA,7,NA,0
"250199000000",55,56,2,2,2,0
"250228000000",NA,NA,NA,NA,NA,NA
"250239000000",39,38,3,2,2,0
"250247000000",NA,NA,NA,NA,NA,NA
"250256000000",NA,NA,3,NA,NA,NA
"250268000000",66,NA,NA,2,NA,NA
"250268000000",66,NA,NA,2,NA,NA
"250272000000",59,NA,NA,2,NA,0
"250289000000",59,NA,NA,7,NA,NA
"250300000000",NA,NA,NA,NA,NA,NA
"250302000000",33,NA,3,2,NA,0
"250308000000",NA,NA,NA,NA,NA,NA
"250313000000",50,40,1,2,1,1
"250327000000",46,NA,3,2,NA,0
"250362000000",58,NA,3,7,NA,NA
"250378000000",NA,NA,NA,NA,NA,NA
"250384000000",55,NA,2,2,NA,NA
