"RecNumbr","SEX","CLINDIS","AgeAtEnd","RaceEthn","P1AgeAtBirth","CTKFAMST","TOTALREM","NUMPLEP","MANREM","RemRsnChil","IsTPR","ado","F1Age","F2Age","FOSFAMST","F1Race","F2Race","Transracial"
"252347000000",1,2,16,2,29,1,2,6,2,0,1,0,64,62,1,2,2,0
"252350000000",1,1,17,2,NA,NA,1,4,2,0,1,0,58,NA,NA,2,NA,0
"252389000000",1,1,17,2,NA,NA,1,2,2,0,1,0,57,NA,4,2,NA,0
"252411000000",2,1,17,2,35,3,1,3,2,0,1,0,56,NA,NA,2,NA,0
"252412000000",2,1,16,7,33,2,2,2,2,0,1,1,35,NA,NA,2,NA,NA
"252421000000",1,1,17,1,25,1,1,5,2,0,1,0,NA,NA,NA,NA,NA,NA
"252429000000",2,1,16,2,NA,5,1,13,2,0,1,1,51,NA,3,2,NA,0
"252444000000",1,1,16,2,57,3,2,6,2,1,1,0,NA,NA,NA,NA,NA,NA
"252452000000",1,2,16,2,23,1,1,5,2,0,1,1,59,NA,NA,2,NA,0
"252455000000",2,2,17,2,27,3,3,4,2,0,1,0,52,NA,1,7,NA,NA
"252492000000",1,1,16,7,33,2,1,6,2,0,1,1,44,NA,3,2,NA,NA
"252496000000",1,1,17,2,NA,5,1,16,2,0,1,0,NA,NA,NA,NA,NA,NA
"252497000000",1,1,17,7,40,3,1,9,2,0,1,0,59,66,1,7,7,0
"252527000000",1,1,17,2,NA,NA,1,10,2,0,1,0,49,NA,2,2,NA,0
"252567000000",1,2,16,2,19,2,2,1,2,0,0,0,39,41,1,2,2,0
"252574000000",2,2,17,2,54,3,2,5,2,1,1,0,NA,NA,NA,NA,NA,NA
"252607000000",2,1,16,2,31,3,2,1,NA,NA,0,0,NA,NA,3,NA,NA,NA
"252620000000",2,2,16,2,NA,NA,1,1,2,0,1,0,44,56,NA,2,2,0
"252676000000",2,1,17,2,25,1,1,6,2,0,1,0,NA,NA,NA,NA,NA,NA
"252680000000",1,1,17,2,22,2,1,11,2,0,1,0,NA,NA,NA,NA,NA,NA
"260134000000",1,1,17,1,NA,NA,1,6,2,0,1,0,51,NA,NA,2,NA,NA
"260137000000",1,2,16,7,22,2,1,2,1,0,0,0,67,NA,1,7,NA,0
"260143000000",2,1,17,1,43,1,2,2,NA,NA,0,0,43,43,1,1,1,0
"260184000000",2,2,17,2,22,2,1,2,2,0,1,0,56,NA,NA,2,NA,0
"260232000000",1,2,17,2,30,3,1,1,2,0,0,0,38,38,1,2,2,0
"260238000000",2,1,17,1,23,2,1,7,2,0,0,0,NA,NA,NA,NA,NA,NA
"260238000000",1,1,17,99,36,1,1,2,1,1,1,1,55,NA,NA,2,NA,9
"260243000000",1,2,17,1,21,3,1,2,1,0,0,0,NA,NA,NA,NA,NA,NA
"260268000000",2,1,16,2,46,3,1,12,2,0,1,0,55,NA,NA,2,NA,0
"260282000000",2,1,16,2,22,2,1,4,2,0,1,1,73,NA,NA,2,NA,0
"260339000000",1,2,17,2,20,3,2,7,2,0,1,0,NA,NA,NA,NA,NA,NA
"260645000000",2,1,17,7,20,3,2,5,2,0,0,0,NA,NA,NA,NA,NA,NA
"260839000000",1,1,17,2,22,3,1,3,2,0,1,0,49,NA,NA,2,NA,0
